Run id,Run title,Command,Status,Starting user,Project owner username,Project name,Total run duration (s),Run duration within reporting period (s),Hardware tier,Queued time,Started time,Completed time,Queued timestamp,Started timestamp,Completed timestamp,Is batch,Is endpoint,Is notebook,Compute cluster type,Master hardware tier,Master hardware tier cost per minute,Worker count,Worker hardware tier,Worker hardware tier cost per minute
65b7fa21e7a7923e2de30963,App server started by sean_zhang.,App server,Running,sean_zhang,sean_zhang,ChatRGA_PDF_Translator,,1673194,small-k8s,2024-01-29T19:18:57.461Z,2024-09-28T15:13:25.232Z,,1706555937461,1727536405232,,false,false,true,,,,,,
65bd19e2ec144e0dc289a8ee,App server started by craig_armstrong.,App server,Running,craig_armstrong,craig_armstrong,DM2,,1672864,small-k8s,2024-02-02T16:35:46.937Z,2024-09-28T15:18:55.735Z,,1706891746937,1727536735735,,false,false,true,,,,,,
6643ad48743cb826d6686975,App server started by connor_marshall.,App server,Running,connor_marshall,connor_marshall,csa_agreement_matrix_report,,1671315,small-k8s,2024-05-14T18:28:24.291Z,2024-09-28T15:44:44.066Z,,1715711304291,1727538284066,,false,false,true,,,,,,
66858b88743cb826d66a8904,App server started by connor_marshall.,App server,Running,connor_marshall,connor_marshall,collateral_eligibility_dashboard,,1669003,medium-cpu-24-k8s-new-gen,2024-07-03T17:34:00.070Z,2024-09-28T16:23:16.067Z,,1720028040070,1727540596067,,false,false,true,,,,,,
66b9b6a90da29f7ff57f42a2,App server started by yazi_zhu.,App server,Running,yazi_zhu,yuhui_wang,UI,,1671315,small-k8s,2024-08-12T07:15:53.969Z,2024-09-28T15:44:44.822Z,,1723446953969,1727538284822,,false,false,true,,,,,,
66ba2c670da29f7ff57f43c8,App server started by drew_marco.,App server,Running,drew_marco,drew_marco,domino-cost-us-cust,,1671174,small-k8s-new-gen,2024-08-12T15:38:15.350Z,2024-09-28T15:47:05.093Z,,1723477095350,1727538425093,,false,false,true,,,,,,
66c35e1a7b9ca07f02b6fe83,App server started by guy_brett_robertson.,App server,Running,guy_brett_robertson,guy_brett_robertson,LAMP-Domino-PoC,,1060521,small-k8s,2024-08-19T15:00:42.258Z,2024-10-05T17:24:38.755Z,,1724079642258,1728149078755,,false,false,true,,,,,,
66c4bdc17b9ca07f02b701ca,App server started by sean_zhang.,App server,Running,sean_zhang,sean_zhang,CMBS_Conduit_Test,,1668925,small-k8s,2024-08-20T16:01:05.084Z,2024-09-28T16:24:34.912Z,,1724169665084,1727540674912,,false,false,true,,,,,,
66d8d6d061e0cc79c3d2b2ba,App server started by siqi_yan.,App server,Stopped,siqi_yan,vincent_prange,GMAT_Underwriting,1473414,1473414,small-k8s,2024-09-04T21:53:20.769Z,2024-09-28T15:44:43.213Z,2024-10-15T17:01:37.722Z,1725486800769,1727538283213,1729011697722,false,false,true,,,,,,
66db199561e0cc79c3d2ba77,App server started by lauren_schmiedeler.,App server,Stopped,lauren_schmiedeler,lauren_schmiedeler,Fund_Performance_Dashboard,1029627,1029627,small-k8s-new-gen,2024-09-06T15:02:45.985Z,2024-09-28T16:23:16.436Z,2024-10-10T14:23:43.687Z,1725634965985,1727540596436,1728570223687,false,false,true,,,,,,
